!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
Friedrich Miescher	פרידריך מישר
Friedrich Mohs	פרידריך מוס
Friedrich Münzer	פרידריך מינצר
Friedrich Naumann	פרידריך נאומן
Friedrich Nietzsche	פרידריך ניטשה
Friedrich Olbricht	פרידריך אולבריכט
Friedrich Paulus	פרידריך פאולוס
Friedrich Ranke	פרידריך ראנקה
Friedrich Ratzel	פרידריך ראצל
Friedrich Rückert	פרידריך ריקרט
Friedrich Schiller	פרידריך שילר
Friedrich Schleiermacher	פרידריך שליירמאכר
Friedrich Schulz	פרידריך שולץ
Friedrich Sixt von Armin	פרידריך סיקסט פון ארמין
Friedrich Spee	פרידריך שפה
Friedrich Waismann	פרידריך וייסמן
Friedrich Wilhelm Freiherr von Bülow	פרידריך וילהלם פון בילוב
Friedrich Wilhelm Joseph Schelling	פרידריך וילהלם שלינג
Friedrich Wilhelm von Erdmannsdorff	פרידריך וילהלם פון ארדמנסדורף
Friedrich Wilhelm von Lindeiner-Wildau	פרידריך וילהלם פון לינדאיינר-וילדאו
Friedrich Wilhelm von Seydlitz	פרידריך וילהלם פון זיידליץ
Friedrich Wolf	פרידריך וולף
Friedrich Wöhler	פרידריך ולר
Friedrich von Bernhardi	פרידריך פון ברנהרדי
Friedrich von Esmarch	פרידריך פון אסמרך
Friedrich von Flotow	פרידריך פון פלוטו
Friedrich von Gentz	פרידריך פון גנץ
Friedrich von Ingenohl	פרידריך פון אינגנול
Friedrich von Müller	פרידריך פון מילר
Friedrich von Scholtz	פרידריך פון שולץ
Friedrich von Wieser	פרידריך פון ויזר
Friedrich-Wilhelm Krüger	פרידריך-וילהלם קריגר
Friedrich-Wilhelm Müller	פרידריך-וילהלם מילר
Friedrich-Wilhelm von Loeper	פרידריך-וילהלם פון לפר
Friedrich-Wilhelm von Rothkirch und Panthen	פרידריך-וילהלם פון רוטקירך אונד פנטן
Friedrichsgymnasium Kassel	פרידריכגימנסיום
Friedrichshafen	פרידריכסהאפן
Friedrichshain	פרידריכסהיין
Friedrichshain-Kreuzberg	פרידריכסהיין-קרויצברג
Friedrichstadt-Palast	פרידריכשטאטפאלאסט
Friedrichstraße	פרידריכשטראסה
Friend of Dorothy	Friend of Dorothy
Friendly Fire	אש ידידותית
Friendly fire	אש כוחותינו
Friends	חברים
Friends	קטגוריה:חברים
Friends	תבנית:חברים
Friends Arena	פרינדס ארנה
Friends of Israel Initiative	יוזמת ידידי ישראל
Friends with Benefits	ידידים פלוס
Friendship	ידידות
Friendship Bridge	גשר הידידות
Friendship bracelet	צמידי חברות
Fries	פריס
Friesland	פריסלנד
Friesland	קטגוריה:פריסלנד
Frieze	אפריז
Frigate	פריגטה
Frigatebird	פרגטה
Frigates	קטגוריה:פריגטות
Fright Night	ליל האימה
Fright Night II	ליל האימה 2
Frightful Four	ארבעת המפחידים
Frigyes Karinthy	פרידיש קארינתי
Frigyes Riesz	פרידיש ריס
Friis transmission equation	נוסחת פריס
Frija Zoaretz	פריג'א זוארץ
Frilled shark	חסחוסן צלופחי
Fringe	גדילים
Fringe	פרינג'
Fringe theatre	קטגוריה:תיאטרון פרינג'
Fringe theatre	תיאטרון שוליים
Fringe-lipped bat	עטלף יבלתי
Fringillidae	קטגוריה:פרושיים
Frisia	פריזיה
Frisian freedom	החופש הפריזי
Frisian languages	פריזית
Frisland	פריסלנד
Frithuwald of Bernicia	מלך ברניקיה פירתאוולד
Fritillaria	גביעונית
Fritillaria persica	גביעונית הלבנון
Frito-Lay	פריטו-ליי
Frittata	פריטטה
Fritter	פריטר
Fritz	פריץ
Fritz Albert Lipmann	פריץ אלברט ליפמן
Fritz Bauer	פריץ באואר
Fritz Bracht	פריץ ברכט
Fritz Busch	פריץ בוש
Fritz Feigl	פריץ פייגל
Fritz Fischer	פריץ פישר
Fritz Grobba	פריץ גרובה
Fritz Haber	פריץ הבר
Fritz Katzmann	פריץ קצמן
Fritz Kolbe	פריץ קולבה
Fritz Kreisler	פריץ קרייזלר
Fritz Lang	פריץ לאנג
Fritz Leiber	פריץ לייבר
Fritz Perls	פריץ פרלס
Fritz Pfeffer	פרידריך פפר
Fritz Pregl	פריץ פרגל
Fritz Reiner	פריץ ריינר
Fritz Rieger	פריץ ריגר
Fritz Riemann	פריץ רימן
Fritz Sauckel	פריץ זאוקל
Fritz Saxl	פריץ זקסל
Fritz Scheel	פריץ של
Fritz Schlieper	פריץ שליפר
Fritz Stiedry	פריץ שטידרי
Fritz Strassmann	פריץ שטרסמן
Fritz Thyssen	פריץ טיסן
Fritz Todt	פריץ טודט
Fritz Walter	פריץ ואלטר
Fritz Weiss	פריץ וייס
Fritz Wunderlich	פריץ וונדרליך
Fritz Zwicky	פריץ צוויקי
Fritz the Cat	פריץ החתול
Fritz von Below	פריץ פון בלו
Fritz von Uhde	פריץ פון אוהדה
Fritz-Hubert Gräser	פריץ-הוברט גרזר
Fritz-Walter-Stadion	אצטדיון פריץ ואלטר
Fritzi Burger	פריצי בורגר
Fritzi Löwy	פריצי לוי
Friuli-Venezia Giulia	פריולי-ונציה ג'וליה
Friuli-Venezia Giulia	קטגוריה:פריולי-ונציה ג'וליה
Friulian language	פורלן
Friz Freleng	פריץ פרילינג
Frobenius endomorphism	הומומורפיזם פרובניוס
Frobenius group	חבורת פרובניוס
Frobenius normal form	צורה רציונלית
Frobenius theorem	משפט פרובניוס
Frodo Baggins	פרודו בגינס
Frog	חסרי זנב
Frog cake	עוגת צפרדע
Frog21/Ltf Version 1	לקטופרין
Frog21/Ltf using MGI Gene box	לקטופרין
Frogfish	פיתיונאים
Frogger	Frogger
Frogmouth	פודרגיים
Frogs	קטגוריה:חסרי זנב
Frogwares	Frogwares
Frohman	פרוהמן
From Afar	From Afar
From Beirut to Jerusalem	מביירות לירושלים
From Dusk till Dawn	מצאת החמה עד צאת הנשמה
From Genesis to Revelation	From Genesis to Revelation
From Hell	ממעמקי הגיהנום
From Here to Eternity	מעתה ועד עולם
From Jewish Folk Poetry	מן השירה היהודית העממית
From Paris with Love	מפריז באהבה
From Prada to Nada	מעושר לעוני
From Russia with Love	מרוסיה באהבה
From Time Immemorial	מאז ומקדם
From Up on Poppy Hill	תצפית על גבעת הפרגים
From a Buick 8	מתוך הביואיק
From the Bottom of My Broken Heart	From the Bottom of My Broken Heart
From the Earth to the Moon	מהארץ לירח
From the Life of the Marionettes	מחיי המריונטות
From the Wilderness and Lebanon	מן המדבר והלבנון
Frombenny	משתמש:Frombenny
Fromberghorn	פרומברגהורן
Fromental Halévy	ז'אק פרומנטל הלוי
Fronde	פרונד
Front	חזית
Front and back ends	קצה קדמי וקצה אחורי
Front curtain	מסך
Front de libération du Québec	החזית לשחרור קוויבק
Front of the Class	בחזית הכיתה
Front organization	חברת קש
Front vowel	תנועות קדמיות
Front-wheel drive	הנעה קדמית
Frontal bone	עצם המצח
Frontal lobe	האונה המצחית
Frontex	Frontex
Frontier	ספר
Frontier Strip	רצועת הספר
Frontier justice	לקיחת החוק לידיים
Frontierland	ארץ המערב הפרוע
Frontinus	סקסטוס יוליוס פרונטינוס
Frontline	Frontline
Froot	Froot
Frosinone Calcio	פרוזינונה
Frost	פרוסט
Frost	קרה
Frost line	קו השלג
Frost/Nixon	פרוסט/ניקסון
Frostbite	כוויית קור
Froth/notes/mockup	ויקיפדיה:דלפק יעוץ
Frotteurism	פרוטאוריזם
Frottola	פרוטולה
Froude number	מספר פראוד
Frozen	לשבור את הקרח
Frozen Fever	קדחת הקרח
Frozen desserts	קטגוריה:קינוחים קפואים
Frozen yogurt	פרוזן יוגורט
Frozenfood12/sqwerg	A
Fructokinase	פרוקטוקינאז
Fructose	פרוקטוז
Fructose 1,6-bisphosphatase	פרוקטוז 1,6-ביספוספטאז
Fructose malabsorption	תת ספיגה של פרוקטוז
Fructose-bisphosphate aldolase	אלדולאז
Fructuosus	פרוקטואוסוס הקדוש
Fruggo	משתמש:Fruggo
Frugivore	אוכלי פירות
Fruit	פרי
Fruit	קטגוריה:פירות
Fruit Ninja	Fruit Ninja
Fruit anatomy	פרי
Fruit dishes	קטגוריה:מאכלי פירות
Fruit juice	קטגוריה:מיצי פירות
Fruit liqueurs	קטגוריה:ליקר פירות
Fruit morphology	קטגוריה:מורפולוגיה של פירות
Fruit of the poisonous tree	פרי העץ המורעל
Fruit picking	קטיף
Fruit preserves	ריבה
Fruit salad	סלט פירות
Fruit tree	עץ פרי
Fruitarianism	פירותנות
Fruitcake	עוגת פירות
Fruits Basket	פרוטס באסקט
Frum	פרום
Frumentius	פרומנטיוס
Frumenty	פרומנטי
Frumin House	בית פרומין
Frumka Płotnicka	פרומקה פלוטניצקה
Frumkin	פרומקין
Frustration	תסכול
Frutarom	פרוטרום
Fry	פיליפ ג'יי פריי
Fry	פריי
Frying	טיגון
Frying pan	מחבת
Frysztak	פרישטאק
Fränkel	פרנקל
Frère Jacques	אחינו יעקב
Frédy Girardet	פרדי ז'ירארדה
Frédéric Anton	פרדריק אנטון
Frédéric Auguste Bartholdi	פרדריק אוגוסט ברתולדי
Frédéric Bastiat	קלוד פרדריק בסטייה
Frédéric Bazille	פרדריק באזיל
Frédéric Chopin	פרדריק שופן
Frédéric Joliot-Curie	פרדריק ז'וליו-קירי
Frédéric Kanouté	פרדי קאנוטה
Frédéric Lazard	פרדריק לאזארד
Frédéric Mistral	פרדריק מיסטרל
Frédéric Passy	פרדריק פאסי
Frédéric Rossif	פרדריק רוסיף
Frédérick Bousquet	פרד בוסקה
Frédérik Deburghgraeve	פרד דבורגרייב
Fsck	Fsck
Fstab	Fstab
Fu'ad Nassar	פואד נאסר
Fuad	פואד
Fuad Chehab	פואד שהאב
Fuad I of Egypt	פואד הראשון
Fuad II of Egypt	פואד השני
Fuad Masum	פואד מעצום
Fubini's theorem	משפט פוביני
Fuchsia	פוקסיה
Fucine Lake	האגם הפוקיני
Fuck	Fuck
Fuck You	Fuck You!
Fuck wit Dre Day	Fuck wit Dre Day
Fucoidan	פוקוידאן
Fucoxanthin	פוקוקסנטין
Fudge	פאדג'
Fuel	דלק
Fuel cell	תא דלק
Fuel dispenser	משאבת דלק
Fuel injection	מערכת הזרקת דלק
Fueled By Ramen	Fueled by Ramen
Fuels	קטגוריה:דלק
Fuenlabrada	פואנלברדה
Fuenteovejuna	מעיין הכבשים
Fugees	פוג'יז
Fugitive	עבריין נמלט
Fugitive Slave Act of 1793	חוק העבד הנמלט 1793
Fugitive Slave Act of 1850	חוק העבד הנמלט 1850
Fugloy	פוגלוי
Fugu	פוגו
Fugue	פוגה
Fujairah	פוג'יירה
Fuji	פוג'י
Fujian	פוג'יין
Fujian Tulou	פוג'יין טולואו
Fujiwara clan	בית פוג'יווארה
Fujiwara no Nobuyori	פוג'יווארה נו נובויורי
Fukui Fukui	פוקואי
Fukui Obama	אובמה
Fukui Prefecture	פוקואי
Fukuoka	פוקואוקה
Fukuoka Prefecture	פוקואוקה
Fukushima	פוקושימה
Fukushima Daiichi Nuclear Power Plant	תחנת הכוח הגרעינית פוקושימה 1
Fukushima Daiichi nuclear disaster	האסון הגרעיני בפוקושימה
Fukushima Fukushima	פוקושימה
Fukushima Prefecture	פוקושימה
Ful medames	פול מדמס
Fulbright Program	תוכנית פולברייט
Fulcher of Chartres	פולקו משארטר
Fuld	פולד
Fulda	פולדה
Fulgencio Batista	פולחנסיו בטיסטה
Fulgora	פולגורה
Fulham	פולהאם
Fulham F.C.	פולהאם
Fulham F.C. managers	קטגוריה:מאמני פולהאם
Fulham F.C. players	קטגוריה:כדורגלני פולהאם
Fuling Tomb	קבר פולינג
Full Circle	Full Circle
Full House	צער גידול בנות
Full Members of the USSR Academy of Sciences	קטגוריה:חברי האקדמיה למדעים של ברית המועצות
Full Metal Jacket	מטאל ג'אקט
Full Throttle	Full Throttle
Full breakfast	ארוחת בוקר אנגלית
Full stop	נקודה
Full width at half maximum	רוחב חצי מקסימום
Full-size vehicles	קטגוריה:מכוניות סלון
Fulla	פולה
Fuller	פולר
Fuller House	Fuller House
Fullerene	פולרן
Fulling	מבטשה
Fullmetal Alchemist	אלכימאי המתכת
Fullmulletjacket/sandbox	דרדוויל
Fulmar	יסעור שחפי
Fulton surface-to-air recovery system	מערכת פולטון להנצלת קרקע-אוויר
Fulvia	פולביה אנטוניה
Fulvio Collovati	פולביו קולובאטי
Fumaria capreolata	עשנן מטפס
Fumaric acid	חומצה פומרית
Fumarole	פומרולה
Fumble	פאמבל
Fume hood	מנדף כימי
Fumi-e	תמונת דריכה
Fumimaro Konoe	פומימרו קונואה
Fun	פאן
Fun and Fancy Free	חופשי ומאושר
Fun discography	דיסקוגרפיה של פאן
Fun with Dick and Jane	דיק וג'יין עושים את זה
Funafuti	פנאפוטי
Funchal	פונשל
Function	פונקציה
Function composition	הרכבת פונקציות
Function generator	מחולל אותות
Function hall	אולם אירועים
Function overloading	שגרה
Function series	טור פונקציות
Functional	פונקציונל
Functional Requirements for Authority Data	דרישות פונקציונליות לנתוני זהות
Functional Requirements for Bibliographic Records	דרישות פונקציונליות לרשומות ביבליוגרפיות
Functional analysis	אנליזה פונקציונלית
Functional analysis	קטגוריה:אנליזה פונקציונלית
Functional equation	משוואה פונקציונלית
Functional group	קבוצה פונקציונלית
Functional groups	קטגוריה:קבוצות פונקציונליות
Functional illiteracy	אנאלפביתיות תפקודית
Functional magnetic resonance imaging	דימות תהודה מגנטית תפקודי
Functional programming	תכנות פונקציונלי
Functional psychology	פונקציונליזם
Functional verification	אימות שבבים
Functionalism	פונקציונליזם
Functionalism versus intentionalism	האסכולה הפונקציונליסטית והאסכולה האינטנציונליסטית בחקר מקורות השואה
Functions and mappings	קטגוריה:פונקציות מתמטיות
Functor	פונקטור
Fundació Antoni Tàpies	מכון אנטוני טאפייס
Fundació Joan Miró	מכון ז'ואן מירו
Fundamental Agreement Between the Holy See and the State of Israel	הסכם היסוד בין הכס הקדוש ומדינת ישראל
Fundamental Physics Prize	הפרס לפיזיקה יסודית
Fundamental attribution error	טעות הייחוס הבסיסית
Fundamental group	חבורה יסודית
Fundamental interaction	כוחות היסוד
Fundamental interactions	תבנית:כוחות היסוד
Fundamental theorem of Galois theory	המשפט היסודי של תורת גלואה
Fundamental theorem of algebra	המשפט היסודי של האלגברה
Fundamental theorem of arithmetic	המשפט היסודי של האריתמטיקה
Fundamental theorem of calculus	המשפט היסודי של החשבון הדיפרנציאלי והאינטגרלי
Fundamentalism	פונדמנטליזם
Fundação Nacional do Índio	המוסד הלאומי למען האינדיאנים
Funding bodies	קטגוריה:קרנות למחקר מדעי
Fundraising	התרמה
Funen	פין
Funeral	Funeral
Funeral	הלוויה
Funeral home	בית לוויות
Funeral march	מארש אבל
Funerals	קטגוריה:הלוויה
Funerals in Israel	קטגוריה:הלוויות בישראל
Funerary and memorial compositions	קטגוריה:שירי הספד
Fungi	קטגוריה:פטריות
Fungus	פטריות
Funhouse	Funhouse
Funicular	פוניקולר
Funicular railways	קטגוריה:פוניקולרים
Funiculà Funiculì	פוניקולי פוניקולה
Funk	פאנק
Funk metal	פאנק
Funnel	משפך
Funnel cloud	ענן משפך
Funny Face	פנים מצחיקות
Funny Games	משחקי שעשוע
Funny Girl	מצחיקונת
Fuqua School of Business	בית הספר לעסקים על שם פיוקווא
Fur	פור
Fur	פרווה
Fur	קטגוריה:פרווה
Fur clothing	בגדי פרווה
Fur farming	תעשיית הפרוות
Fur language	שפת פור
Fur people	פור
Fur seal	דובי ים
Furby	פרבי
Fureidis	פוריידיס
Furious 7	מהיר ועצבני 7
Furipteridae	פורפטריים
Furisode	פוריסודה
Furnace	כבשן
Furniture	קטגוריה:ריהוט
Furniture	רהיט
Furosemide	פורוסמיד
Furrina	פורינה
Furry fandom	פאנדום פרוותי
Fuse	מרעום
Fuse	נתיך
Fushigi no Kuni no Alice	עליסה בארץ הפלאות
Fushimi Castle	טירת פושימי
Fushun	פושון
Fusion	פיוז'ן
Fusion cuisine	פיוז'ן
Fusion protein	חלבון כימרי
Fusuma	פוסומה
Futalognkosaurus	פוטאלונגקוזאורוס
Futhark	פותארק
Futon	פוטון
Futsal	קטרגל
Futura International Airways	פוטורה
Futurama	פיוצ'רמה
Futurama	קטגוריה:פיוצ'רמה
Futurama	תבנית:פיוצ'רמה
Futurama Comics	פיוצ'רמה קומיקס
Futurama characters	קטגוריה:דמויות פיוצ'רמה
Future	עתיד
Future	קטגוריה:ערכי עתיד
Future Boy Conan	Future Boy Conan
Future Diary	יומן העתיד
Future Movement	זרם העתיד
Future Now Tour	Future Now Tour
Future Shock	הלם העתיד
Future bass	פיוצ'ר באס
Future events	קטגוריה:אירועים עתידיים
Future value	ערך עתידי
FutureSex/LoveSounds	FutureSex/LoveSounds
Futures contract	חוזה עתידי
Futures studies	עתידנות
Futurism	פוטוריזם
Futurism	קטגוריה:פוטוריזם
Futurist artists	קטגוריה:אמנים פוטוריסטים
Futurist painting	קטגוריה:ציור פוטוריסטי
Futurist sculpture	קטגוריה:פיסול פוטוריסטי
Futurologists	קטגוריה:עתידנים
Futurology	קטגוריה:עתידנות
Futuroscope	פוטורוסקופ
Fuxi	פו שי
Fuze	מרעום
Fuzzy logic	לוגיקה עמומה
Fxp300	User:Fxp300
Fylkir	פיילקיר
Fyodor Apraksin	פיודור אפרקסין
Fyodor Dostoyevsky	פיודור דוסטויבסקי
Fyodor Kudryashov	פיודור קודריאשוב
Fyodor Lesh	פיודור לש
Fyodor Litke	פיודור ליטקה
Fyodor Raskolnikov	פיודור רסקולניקוב
Fyodor Romodanovsky	פיודור רומודנובסקי
Fyodor Tolbukhin	פיודור טולבוחין
Fyodor Tyutchev	פיודור טיוטצ'ב
Fyodor Ushakov	פיודור אושקוב
Fyodor Viktorovich Vinberg	פיודור וינברג
Fábio Aurélio	פאביו אאורליו
Fábio Coentrão	פאביו קונטראו
Fábio Júnior Pereira	פאביו ג'וניור פריירה
Fårikål	פוריקול
Fédération Aéronautique Internationale	הפדרציה הבינלאומית לאווירונאוטיקה
Fédération Cynologique Internationale	הפדרציה הבינלאומית לכלבנות
Fédération Cynologique Internationale Groups	קבוצות הפדרציה הבינלאומית לכלבנות
Fédération Cynologique Internationale members	קטגוריה:חברי הפדרציה הבינלאומית לכלבנות
Fédération Internationale de Motocyclisme	הפדרציה הבינלאומית לאופנועים
Fédération Internationale de Philatélie	האיגוד הבינלאומי לבולאות
Fédération Internationale de Volleyball	הפדרציה הבינלאומית לכדורעף
Fédération Luxembourgeoise de Football logo.svg	קובץ:Luxembourg FA.gif
Félix Amiot	פליקס אמיו
Félix Bonfils	פליקס בונפיס
Félix Faure	פליקס פור
Félix Fénéon	פליקס פנאון
Félix Houphouët-Boigny	פליקס הופואה-בואני
Félix Lavilla	פליקס לאווילה
Félix Leclerc	פליקס לקלר
Félix Sesúmaga	פליקס ססומאגה
Félix Sánchez	פליקס סאנצ'ס
Félix Éboué	פליקס אבואה
Fête de la Musique	חג המוזיקה
Föhrenwald	פרנוואלד
Füchse Berlin Reinickendorf HBC	פוקסה ברלין
Führer	פיהרר
Führer Headquarters	אתרי המפקדה של אדולף היטלר
Führerbunker	פיהררבונקר
Für Danzig	המנון העיר החופשית דנציג
Für Elise	לאליזה
Fürst	פירסט
Fürstenberg	פירסטנברג
Fürstengrube subcamp	פירסטנגרובה
Fürth	פירט
Fălticeni	פלטיצ'ן
Făt-Frumos	פט פרומוס
Fıraktın relief	תבליט פירקטין
G	G
G	ג'י
G	סול
G 208-44/208-45	V1581 בברבור
G Hannelius	ג'י הנליוס
G factor	גורם g
G protein	חלבון G
G protein–coupled receptor	קולטן המצומד לחלבון G
G&L Musical Instruments	G&L
G-Shock	G-Shock
G-Unit	ג'י יוניט
G-module	G-מודול
G-spot	נקודת ג'י
G-suit	חליפת ג'י
G-type main-sequence star	כוכב הסדרה הראשית מסוג G
G-type main-sequence stars	קטגוריה:כוכבי הסדרה הראשית מסוג G
G. Bridge	ג'. וו. ברידג'
G. Chesterton	ג. צ'סטרטון
G. Dimitrov	גאורגי מיחוב דימיטרוב
G. Hardy	גודפרי הרולד הארדי
G. Moore	ג. מור
G. Ramachandran	גופאלאסמודרם ראמצ'נדרן
G. Taylor	ג'. טיילור
G. Yafit	ג. יפית
G.D. Estoril Praia	אשטוריל
G.D. Estoril Praia players	קטגוריה:כדורגלני אשטוריל
G.I.	G.I.
G.I. Joe	ג'י. איי. ג'ו
G.I. Joe: A Real American Hero	כוח המחץ
G.I. Joe: Retaliation	ג'י איי ג'ו: סוגרים חשבון
G.I. Joe: The Rise of Cobra	ג'י. איי. ג'ו כוח המחץ
G.R.L.	G.R.L.
G.U.Y.	G.U.Y.
G.fast	G.fast
G1.9+0.3	סופרנובה G1.9+0.3
G20	G-20
G3	G3
G3 - Live in Denver.jpg	תמונה:G3 - Live in Denver.jpg
G3: Live in Concert	G3: Live in Concert
G3: Live in Denver	G3: Live in Denver
G3: Live in Tokyo	G3: Live in Tokyo
G3tok.jpg	תמונה:G3tok.jpg
G4	G4
G4S	G4S
G8 nations	תבנית:ארגון המדינות המתועשות
GA	Ga
GAIS	גאיס
GALEX	טלסקופ החלל גלקס
GAT	גת
GAU-7 cannon	GAU-7
GAZ	גא"ז
GAZ Tiger	GAZ-2330 Tigr
GAZ-21	וולגה גא"ז 21
GAZ-66	GAZ 66
GAZ-69	GAZ-69
GAZ-M20 Pobeda	פובדה
GB-PVR	GB-PVR
GBU-15	GBU-15
GBU-28	GBU-28
GBU-43/B Massive Ordnance Air Blast	GBU-43/B מאסיב אורדננס אייר בלאסט
GBU-53/B	ברד חד
GBdeZeeuw/sandbox	מתיחת פנים
GC	GC
GCI Universal Gemological Laboratories	ג'י. סי. איי. - מרכזים גמולוגים בינלאומיים
GConf	GConf
GD	Gd
GDDR SDRAM	GDDR
GDP deflator	מדד מחירי התוצר
GDRT	מלך אקסום גדרט
GDebi	GDebi
GEDCOM	GEDCOM
GERphysicist/Synchrotron x-ray scanning tunneling microscopy	מיקרוסקופ מינהור סורק
GFDL	תבנית:GFDL
GFDL files	קטגוריה:ויקיפדיה - תמונות GFDL
GG Allin	ג'י ג'י אלין
GIF	GIF
GIF Sundsvall players	קטגוריה:כדורגלני סונדסוואל
GIGN	GIGN
GIMP	GIMP
GIOVE	GIOVE
GJ 1005	GJ 1005
GJ 3379	GJ 3379
GKS Katowice	גאקאאס קטוביצה
GLAAD	הליגה ההומו-לסבית נגד השמצה
GLAAD Media Award	פרסי התקשורת של הליגה ההומו-לסבית נגד השמצה
GLAM	ויקיפדיה:מיזמי ויקיפדיה/גלאם
GLAM/National Library of Israel	ויקיפדיה:מיזמי ויקיפדיה/גלאם/הספרייה הלאומית
GLONASS	GLONASS
GMC	GMC
GMT	GMT
GMann1917.jpg	קובץ:GMann1917.jpg
GN-108036	GN-108036
GNK Dinamo Zagreb	דינמו זאגרב
GNK Dinamo Zagreb managers	קטגוריה:מאמני דינמו זאגרב
GNK Dinamo Zagreb players	קטגוריה:כדורגלני דינמו זאגרב
GNOME	GNOME
GNOME	קטגוריה:GNOME
GNOME	תבנית:GNOME
GNOME Character Map	מפת התווים של GNOME
GNOME Files	נאוטילוס
GNOME Foundation	קרן GNOME
GNOME Keyring	GNOME Keyring
GNOME Panel	לוח GNOME
GNOME Shell	GNOME Shell
GNOME Terminal	מסוף GNOME
GNSS augmentation	הגברה של מערכת ניווט לוויינית
GNU	גנו
GNU Affero General Public License	הרשיון הציבורי הכללי של אפרו
GNU Compiler Collection	GCC
GNU Debugger	GNU Debugger
GNU Free Documentation License	הרישיון לשימוש חופשי במסמכים של גנו
GNU GRUB	GRUB
GNU General Public License	הרישיון הציבורי הכללי של גנו
GNU Hurd	Hurd
GNU Lesser General Public License	הרישיון הציבורי הכללי המוקטן של גנו
GNU Project	פרויקט גנו
GNU bison	GNU bison
GO	Go
GOC Army Headquarters	זרוע היבשה
GOELRO plan	תוכנית גואלרו
GOER	משתמש:H2O
GOOD Music	GOOD Music
GPS Aided GEO Augmented Navigation	GAGAN
GPS Block IIIA	GPS Block IIIA
GPS signals	אותות GPS
GPa Hill/SandVWorkInProgress	סאקו וונצטי
GParted	GParted
GPodkolzin	משתמש:GPodkolzin
GQ	GQ
GRB 090423	GRB 090423
GSG 9	GSG-9
GSI Helmholtz Centre for Heavy Ion Research	מרכז הלמהולץ למחקר יונים כבדים
GSM	GSM
GSP Stadium	אצטדיון GSP
GSh-18	Gsh-18
GT67/hypertension	יתר לחץ דם
GTK+	GTK+
GTK+	קטגוריה:GTK+
GUM	גום
GUVD Saint Petersburg.png	GUVD Saint Petersburg.pngקובץ:
GX	משגר GX
GZA	ג'יזה
Ga'ash	געש
Ga'aton	געתון
Ga'aton River	נחל געתון
Ga-ga	גע גע גע
Gaafar Nimeiry	ג'עפר נומיירי
Gaal	געל בן עבד
Gaash	געש
Gabai	גבאי
Gabala FC players	קטגוריה:כדורגלני גבאלה
Gabala FK	גבאלה
Gabar goshawk	נץ גבאר
Gabardine	גברדין
Gabashvili	גבשווילי
Gabbai	גבאי
Gabbro	גברו
Gabby Douglas	גבי דאגלס
Gabe Newell	גייב ניוול
Gabe Pruitt	גייב פרואיט
Gabi	גאבי
Gabi	גבי
Gabi Ashkenazi	גבי אשכנזי
Gabi Gazit	גבי גזית
Gabi Lasri	גבי לסרי
Gabi Siboni	גבי סיבוני
Gabon	גבון
Gabon	קטגוריה:גבון
Gabon at the Olympics	גבון במשחקים האולימפיים
Gabon at the Paralympics	גבון במשחקים הפאראלימפיים
Gabon national basketball team	נבחרת גבון בכדורסל
Gabon national football team	נבחרת גבון בכדורגל
Gabonese basketball players	קטגוריה:כדורסלנים גבונים
Gabonese footballers	קטגוריה:כדורגלנים גבונזים
Gabonese people	קטגוריה:גבונזים
Gabonese politicians	קטגוריה:פוליטיקאים גבונזים
Gaboon viper	ביטיס גבוני
Gabor Maté	גאבור מטה
Gaborone	גאבורון
Gabourey Sidibe	גבורי סידיבי
Gabri García	גברי גארסיה
Gabriel	גבריאל
Gabriel Almond	גבריאל אלמונד
Gabriel Bach	גבריאל בך
Gabriel Baer	גבריאל בר
Gabriel Barbosa	גבריאל ברבוסה
Gabriel Barkay	גבריאל ברקאי
Gabriel Batistuta	גבריאל בטיסטוטה
Gabriel Betancourt	גבריאל בטנקור
Gabriel Bethlen	גאבור בתלן
Gabriel Byrne	גבריאל ביירן
Gabriel Báthory	גאבור באטורי
Gabriel Cramer	גבריאל קרמר
Gabriel Fauré	גבריאל פורה
Gabriel García Márquez	גבריאל גארסיה מארקס
Gabriel Giurgiu	גבריאל ג'ורג'ו
Gabriel Hallevy	גבריאל הלוי
Gabriel Heinze	גבריאל היינצה
Gabriel Herman	גבריאל הרמן
Gabriel Judah Lichtenfeld	גבריאל יהודה ליכטנפלד
Gabriel Lamé	גבריאל לאמה
Gabriel Levin	גבריאל לוין
Gabriel Lippmann	גבריאל ליפמן
Gabriel Mann	גבריאל מאן
Gabriel Milito	גבריאל מיליטו
Gabriel Naddaf	גבריאל נדאף
Gabriel Narutowicz	גבריאל נרוטוביץ'
Gabriel Obertan	גבריאל אוברטן
Gabriel Paletta	גבריאל פאלטה
Gabriel Piguet	גבריאל פיגה
Gabriel Preil	גבריאל פרייל
Gabriel Revel	גבריאל רבל
Gabriel Riesser	גבריאל ריסר
Gabriel Talphir	גבריאל טלפיר
Gabriel Tamaș	גבריאל תאמאש
Gabriel Tarde	גבריאל דה טארד
Gabriel Thomson	גבריאל תומסון
Gabriel Yared	גבריאל יארד
Gabriel and Maxim Shamir	האחים שמיר
Gabriel of Our Lady of Sorrows	גבריאלה פוסנטי
Gabriel's Horn	שופר גבריאל
Gabriel's Revelation	חזון גבריאל
Gabriela Michetti	גבריאלה מיקטי
Gabriela Mistral	גבריאלה מיסטרל
